user_id,pais,moneda,ingreso_mensual,nivel_endeudamiento,frecuencia_ahorro,descripcion,valor,categoria,fecha,tipo_texto,comercio,perfil_financiero,probabilidad_perfil,recomendaciones,gasto_total_mes,ratio_gasto_ingreso
28,AR,ARS,259187,14,Alta,SEGUROHOGARCONSORCIOABIERTO,47140,vivienda,2026-07-17,natural,ConsorcioAbierto,saludable,0.143,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",4041804,15.594
218,CL,CLP,630580,31,Media,renovación 3102 max hbo,11930,streaming,2026-09-22,natural,Max HBO,en_observacion,0.6,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",5635285,8.937
54,AR,ARS,193971,25,Media,maderas ramos s.a.,39888,vivienda,2026-06-02,cartola,Maderas Ramos,en_observacion,0.2,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",3663562,18.887
224,CL,CLP,962503,67,Baja,PAGODEBITOPATCHILENACONSOLIDADA 4828,17074,otros,2026-08-18,cartola,Chilena Consolidada,en_riesgo,0.667,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",6285809,6.531
192,CL,CLP,917605,23,Baja,transbank ok market,40744,alimentacion,2026-09-08,cartola,OK Market,en_observacion,0.6,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",7464157,8.134
212,CL,CLP,1204323,45,Alta,compra de corona 3382,103824,otros,2026-08-04,natural,Corona,en_observacion,0.6,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",7535937,6.257
71,AR,ARS,221373,30,Alta,aguaedenor2428,30363,servicios,2026-09-25,natural,Edenor,en_observacion,0.2,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",4323257,19.529
84,AR,ARS,229695,78,Media,médico farmacity CONCEPCION,48552,salud,2026-08-26,natural,Farmacity,en_riesgo,0.333,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",3840449,16.72
111,AR,ARS,219231,25,Baja,médicoagleno,110000,salud,2026-02-08,natural,Galeno,en_observacion,0.6,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",3974925,18.131
165,CL,CLP,1624525,47,Baja,COMPRA WEBPAY PUNTOTICKET,33377,ocio,2026-10-18,cartola,PuntoTicket,en_riesgo,0.333,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Reducir gastos en alimentación (considerar compras mayoristas)""]",8801621,5.418
4,AR,ARS,106868,74,Baja,LA TRASTIENDA COMPRA POS,25793,ocio,2026-06-12,cartola,La Trastienda,en_riesgo,0.667,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",3375129,31.582
111,AR,ARS,219231,25,Baja,mp*max hbo argentina,5612,streaming,2026-04-25,cartola,Max HBO Argentina,en_observacion,0.6,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",3974925,18.131
213,CL,CLP,668983,22,Baja,PAT DEBITO AUTOPISTA CENTRAL,17463,transporte,2026-04-04,cartola,Autopista Central,en_observacion,0.6,"[""Revisar suscripciones activas de streaming"", ""Reducir gastos en entretenimiento y actividades de ocio"", ""Optimizar gastos de transporte y combustible""]",5885558,8.798
