descripcion,valor,categoria_final,pais,moneda
puma,58806,transporte,AR,ARS
pago en clinica indisa,11428,salud,CL,CLP
medife,55521,salud,AR,ARS
pago cuenta movistar,25101,servicios,CL,CLP
udemy,73944,educacion,AR,ARS
pago inacap,249728,educacion,CL,CLP
compra en easy,335685,vivienda,CL,CLP
compra en sportclub,19224,otros,AR,ARS
inscripcion en udemy,308622,educacion,AR,ARS
entrada ticketek,56797,ocio,AR,ARS
isapre nueva masvida,74579,salud,CL,CLP
suscripcion a inacap,81740,educacion,CL,CLP
pago easy,562865,vivienda,AR,ARS
pago factura movistar,48039,servicios,AR,ARS
flow,37088,servicios,AR,ARS
pago cuenta chilquinta,33085,servicios,CL,CLP
pago easy,596567,vivienda,AR,ARS
colectivo,10972,transporte,AR,ARS
regalo cumpleanos,62729,otros,AR,ARS
medife,51532,salud,AR,ARS
edesur,51856,servicios,AR,ARS
pago en farmacias ahumada,62963,salud,CL,CLP
suscripcion a hbo max,8188,ocio,CL,CLP
transferencia a familiar,29699,otros,AR,ARS
pago en uber eats,30216,alimentacion,CL,CLP
permiso de circulacion,9985,transporte,CL,CLP
entrada steam,27791,ocio,CL,CLP
consulta en clinica indisa,16542,salud,CL,CLP
pago cuenta chilquinta,78853,servicios,CL,CLP
expensas,513910,vivienda,AR,ARS
easy,266167,vivienda,CL,CLP
pago duoc uc,232971,educacion,CL,CLP
carga nafta en shell,27969,transporte,AR,ARS
metrogas,99346,servicios,AR,ARS
plan de internet hogar,61347,servicios,AR,ARS
panaderia,44681,alimentacion,AR,ARS
pago plan edenor,114089,servicios,AR,ARS
pago mensualidad sportclub,13643,otros,AR,ARS
disco,30789,alimentacion,AR,ARS
farmacity,97024,salud,AR,ARS
transferencia a familiar,15418,otros,CL,CLP
isapre vida tres,49396,salud,CL,CLP
entrada a concierto,40071,ocio,CL,CLP
cafe,10164,alimentacion,CL,CLP
carga nafta en cabify,42489,transporte,AR,ARS
entrada ticketmaster,40170,ocio,CL,CLP
viaje en uber,52651,transporte,AR,ARS
pago en disco,34143,alimentacion,AR,ARS
inscripcion en coursera,292051,educacion,CL,CLP
viaje en turbus,38141,transporte,CL,CLP
pago en construmart,362353,vivienda,CL,CLP
veterinaria,33760,otros,AR,ARS
inscripcion en platzi,267748,educacion,AR,ARS
inacap,41970,educacion,CL,CLP
alquiler casa,365914,vivienda,AR,ARS
sodimac,360563,vivienda,CL,CLP
suscripcion a platzi,350801,educacion,AR,ARS
compra en ticketmaster,19594,ocio,CL,CLP
entrada cinemark,39537,ocio,AR,ARS
compra en sportlife,13645,otros,CL,CLP
mantencion edificio,375068,vivienda,CL,CLP
sodimac,856268,vivienda,AR,ARS
compra en pacific gym,16322,otros,CL,CLP
pedido en mayorista 10,8329,alimentacion,CL,CLP
consulta en clinica indisa,44599,salud,CL,CLP
compra en easy,197341,vivienda,CL,CLP
pago mensualidad sportclub,53220,otros,AR,ARS
udemy,209881,educacion,AR,ARS
pago factura telecentro,54413,servicios,AR,ARS
utiles escolares,229877,educacion,AR,ARS
pago plan aysa,105905,servicios,AR,ARS
suscripcion a playstation store,48898,ocio,CL,CLP
inacap,259955,educacion,CL,CLP
plan de internet hogar,37575,servicios,AR,ARS
hbo max,64902,ocio,AR,ARS
donacion,11584,otros,CL,CLP
pago duoc uc,270958,educacion,CL,CLP
pago en construmart,440621,vivienda,CL,CLP
arriendo departamento,385789,vivienda,CL,CLP
taller mecanico,24966,transporte,CL,CLP
pago plan claro,111922,servicios,AR,ARS
compra en easy,214796,vivienda,CL,CLP
copec,9916,transporte,CL,CLP
almuerzo,5512,alimentacion,CL,CLP
restaurante,45002,alimentacion,AR,ARS
pago mensualidad sportclub,15163,otros,AR,ARS
suscripcion a udemy,200624,educacion,CL,CLP
pago cuenta gtd manquehue,69989,servicios,CL,CLP
servicio de aseo,217607,vivienda,CL,CLP
pago en sodimac,298317,vivienda,CL,CLP
carga bencina en uber,31479,transporte,CL,CLP
cuota jardin infantil,202150,educacion,CL,CLP
entrada a recital,48176,ocio,AR,ARS
compra en clinica alemana,12355,salud,CL,CLP
estacionamiento,56088,transporte,AR,ARS
lider,57759,alimentacion,CL,CLP
entrada playstation store,13432,ocio,CL,CLP
spotify,47989,ocio,CL,CLP
pago factura flow,38163,servicios,AR,ARS
suscripcion a udemy,397375,educacion,AR,ARS
cafe,12856,alimentacion,CL,CLP
sesion kinesiologo,75074,salud,AR,ARS
suscripcion a coursera,144591,educacion,AR,ARS
suscripcion a cine hoyts,69632,ocio,AR,ARS
pago en axion,42063,transporte,AR,ARS
disney plus,24334,ocio,CL,CLP
carga nafta en uber,44868,transporte,AR,ARS
inscripcion en udemy,186213,educacion,CL,CLP
pago mensualidad sportclub,10395,otros,AR,ARS
claro,57287,servicios,AR,ARS
compra en easy,864107,vivienda,AR,ARS
burger king,56338,alimentacion,CL,CLP
pago mensualidad sportclub,51187,otros,AR,ARS
suscripcion a spotify,66030,ocio,AR,ARS
arriendo casa,406558,vivienda,CL,CLP
suscripcion a coursera,71963,educacion,AR,ARS
inscripcion en platzi,376944,educacion,AR,ARS
sportclub,8231,otros,AR,ARS
compra en sodimac,356904,vivienda,AR,ARS
arriendo departamento,300800,vivienda,CL,CLP
compra en netflix,12183,ocio,CL,CLP
entrada netflix,56080,ocio,AR,ARS
compra en farmacia del pueblo,59959,salud,AR,ARS
easy,334037,vivienda,CL,CLP
salida fin de semana,57014,ocio,AR,ARS
revision tecnica,36944,transporte,CL,CLP
compra en sportclub,55851,otros,AR,ARS
consulta en farmacias ahumada,87242,salud,CL,CLP
subte,59852,transporte,AR,ARS
viaje en uber,21105,transporte,CL,CLP
viaje en beat,17915,transporte,CL,CLP
barugel azulay,806990,vivienda,AR,ARS
cuota universidad privada,347462,educacion,AR,ARS
compra en sodimac,344516,vivienda,CL,CLP
pago plan vtr,76830,servicios,CL,CLP
estacionamiento,31482,transporte,AR,ARS
entrada ticketmaster,12158,ocio,CL,CLP
salida fin de semana,17440,ocio,CL,CLP
pago en beat,39629,transporte,CL,CLP
alquiler departamento,676105,vivienda,AR,ARS
easy,391223,vivienda,CL,CLP
pago cuenta claro,64439,servicios,CL,CLP
cinemark,40465,ocio,CL,CLP
plan de internet hogar,101663,servicios,AR,ARS
pedido en ekono,50055,alimentacion,CL,CLP
isapre cruz blanca,14150,salud,CL,CLP
viaje en cabify,36516,transporte,CL,CLP
pago platzi,296518,educacion,AR,ARS
multa,39883,otros,CL,CLP
arriendo casa,371986,vivienda,CL,CLP
subte,8509,transporte,AR,ARS
carga nafta en shell,16195,transporte,AR,ARS
pago mensualidad sportclub,62645,otros,AR,ARS
salida fin de semana,59467,ocio,AR,ARS
pago en axion,53873,transporte,AR,ARS
pago platzi,298772,educacion,AR,ARS
salida a un bar,20185,ocio,AR,ARS
gastos comunes,283965,vivienda,CL,CLP
plan de internet hogar,101950,servicios,AR,ARS
aysa,30480,servicios,AR,ARS
pago cuenta movistar,53775,servicios,CL,CLP
pago en puma,40095,transporte,AR,ARS
prevencion salud,68291,salud,AR,ARS
easy,757309,vivienda,AR,ARS
turbus,34996,transporte,CL,CLP
sportclub,57528,otros,AR,ARS
tramite en notaria,49872,otros,CL,CLP
pago mensualidad pacific gym,48077,otros,CL,CLP
compra en sportclub,46591,otros,AR,ARS
plan de internet hogar,47481,servicios,CL,CLP
inscripcion en coursera,268197,educacion,CL,CLP
pago mensualidad sportlife,18962,otros,CL,CLP
entrada a recital,56340,ocio,AR,ARS
paseo,40226,ocio,CL,CLP
cuota jardin infantil,252752,educacion,CL,CLP
entrada netflix,25196,ocio,CL,CLP
compra en sodimac,375787,vivienda,CL,CLP
taller mecanico,5691,transporte,CL,CLP
turbus,34108,transporte,CL,CLP
sportlife,26731,otros,CL,CLP
viaje en shell,58999,transporte,AR,ARS
compra en salcobrand,39687,salud,CL,CLP
paseo,38733,ocio,CL,CLP
peluqueria,18754,otros,CL,CLP
entrada disney plus,25529,ocio,AR,ARS
salida fin de semana,25641,ocio,AR,ARS
pago en rappi,73849,alimentacion,AR,ARS
disney plus,11126,ocio,AR,ARS
cuota universidad privada,234002,educacion,AR,ARS
compra en sportlife,33992,otros,CL,CLP
omint,120556,salud,AR,ARS
pago en beat,17284,transporte,CL,CLP
pago inacap,172154,educacion,CL,CLP
compra en sportlife,8576,otros,CL,CLP
jumbo,22261,alimentacion,CL,CLP
carniceria,73028,alimentacion,AR,ARS
salcobrand,70323,salud,CL,CLP
pago mensualidad sportlife,29088,otros,CL,CLP
salida a un bar,24553,ocio,CL,CLP
