user_id,pais,moneda,ingreso_mensual,nivel_endeudamiento,frecuencia_ahorro,descripcion,valor,categoria,fecha,tipo_texto
1,AR,ARS,267621,19,Baja,deb aut gas nea pos,83525,servicios,2026-01-27,cartola
1,AR,ARS,267621,19,Baja,consorcio palermo exp,47478,vivienda,2026-01-23,cartola
1,AR,ARS,267621,19,Baja,medife asociados deb,86735,salud,2026-01-25,cartola
1,AR,ARS,267621,19,Baja,la continental pizza,13449,alimentacion,2026-01-25,cartola
1,AR,ARS,267621,19,Baja,peaje sarandi compra,2395,transporte,2026-01-08,cartola
1,AR,ARS,267621,19,Baja,zonaprop compra factura,67296,vivienda,2026-01-16,cartola
1,AR,ARS,267621,19,Baja,corredores viales compra,4470,transporte,2026-01-29,cartola
1,AR,ARS,267621,19,Baja,pago naturgy,14630,servicios,2026-01-04,natural
1,AR,ARS,267621,19,Baja,telecentro debito directo,25899,servicios,2026-01-17,cartola
1,AR,ARS,267621,19,Baja,emova subte caba,1960,transporte,2026-01-02,cartola
1,AR,ARS,267621,19,Baja,icbc mantenimiento servicio,16409,otros,2026-01-24,cartola
1,AR,ARS,267621,19,Baja,giro cajero banelco,22289,otros,2026-01-08,cartola
1,AR,ARS,267621,19,Baja,dexter sport pos,61104,otros,2026-01-20,cartola
1,AR,ARS,267621,19,Baja,ligier compra pos,35635,vivienda,2026-01-18,cartola
1,AR,ARS,267621,19,Baja,compra en makro,49490,alimentacion,2026-01-14,natural
1,AR,ARS,267621,19,Baja,compra en rotiseria la querencia,21135,alimentacion,2026-01-21,natural
1,AR,ARS,267621,19,Baja,pago en pizzeria guerrin,47251,alimentacion,2026-01-10,natural
1,AR,ARS,267621,19,Baja,peaje debenedetti pos,4073,transporte,2026-01-14,cartola
1,AR,ARS,267621,19,Baja,la continental pizza,26660,alimentacion,2026-01-26,cartola
1,AR,ARS,267621,19,Baja,pago edenor,72068,servicios,2026-01-04,natural
1,AR,ARS,267621,19,Baja,ligier compra pos,49760,vivienda,2026-01-13,cartola
1,AR,ARS,267621,19,Baja,telecentro debito directo,39217,servicios,2026-01-16,cartola
1,AR,ARS,267621,19,Baja,pago edersa rio negro,53651,servicios,2026-01-23,natural
1,AR,ARS,267621,19,Baja,deb aut claro hogar,53475,servicios,2026-01-06,cartola
1,AR,ARS,267621,19,Baja,carga bencina en trenes argentinos,1376,transporte,2026-01-10,natural
1,AR,ARS,267621,19,Baja,uber* trip argentina,26514,transporte,2026-01-23,cartola
1,AR,ARS,267621,19,Baja,puntoticket compra,81244,ocio,2026-01-29,cartola
1,AR,ARS,267621,19,Baja,compra en le pain quotidien,35759,alimentacion,2026-01-02,natural
1,AR,ARS,267621,19,Baja,carga bencina en sube,6219,transporte,2026-01-25,natural
1,AR,ARS,267621,19,Baja,compra en diagnostico maipu,71057,salud,2026-01-04,natural
1,AR,ARS,267621,19,Baja,pago edersa rio negro,33536,servicios,2026-01-20,natural
1,AR,ARS,267621,19,Baja,colegio newman deb aut,11028,educacion,2026-01-13,cartola
1,AR,ARS,267621,19,Baja,edesur pago directo,56898,servicios,2026-01-09,cartola
1,AR,ARS,267621,19,Baja,entrada a movistar arena argentina,93385,ocio,2026-01-21,natural
1,AR,ARS,267621,19,Baja,suscripcion a netflix argentina,7662,streaming,2026-01-15,natural
1,AR,ARS,267621,19,Baja,pago en pani,31770,alimentacion,2026-01-27,natural
1,AR,ARS,267621,19,Baja,kika bar entradas,24263,ocio,2026-01-27,cartola
